"node","name_1","name_2","subsystem"
45,"GLYCTO1p","GLYCTO1p","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
47,"HPYRR2x","HPYRR2x","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
48,"HPYRRx","Hydroxypyruvate reductase (NADH)","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
49,"PGLYCP","Phosphoglycolate phosphatase","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
52,"P4502C92","P4502C92","LIMONENE AND PINENE DEGRADATION"
53,"P4502C93","P4502C93","LIMONENE AND PINENE DEGRADATION"
54,"P4502C94","P4502C94","LIMONENE AND PINENE DEGRADATION"
55,"PYLALDOX","PYLALDOX","LIMONENE AND PINENE DEGRADATION"
56,"PYLALDOXm","PYLALDOXm","LIMONENE AND PINENE DEGRADATION"
59,"DKMPPD2_cho","2,3-diketo-5-methylthio-1-phosphopentane degradation reaction 2","METHIONINE METABOLISM"
60,"METOX","L-Methionine oxidase","METHIONINE METABOLISM"
61,"BDMT_cho","GDPmannose:chitobiosyldiphosphodolichol beta-D-mannosyltransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
62,"DOLASNTer","Dolichyl-diphosphooligosaccharide:protein-L-asparagine oligopolysaccharidotransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
63,"DOLPGT1er","Dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
64,"DOLPGT2er","Dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
65,"DOLPGT3er","Dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
66,"DOLPMT1er","Dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
67,"DOLPMT3er","Dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (CHO)","N-GLYCAN BIOSYNTHESIS"
68,"M13N4Tg","M13N4Tg","N-GLYCAN BIOSYNTHESIS"
69,"M16N4Tg","M16N4Tg","N-GLYCAN BIOSYNTHESIS"
70,"MAN1_6B1er","MAN1 6B1er","N-GLYCAN BIOSYNTHESIS"
71,"MAN1_7Ber","MAN1 7Ber","N-GLYCAN BIOSYNTHESIS"
72,"S26Tg","S26Tg","N-GLYCAN BIOSYNTHESIS"
73,"ALDD19xr","Aldehyde dehydrogenase (phenylacetaldehyde, NAD)","PHENYLALANINE METABOLISM"
74,"ALDD19x_P","ALDD19x P","PHENYLALANINE METABOLISM"
75,"PEAMNO","PEAMNO","PHENYLALANINE METABOLISM"
76,"PHACCOAGLYACm","Glycine N-phenylacetyltransferase","PHENYLALANINE METABOLISM"
77,"PHEOX","L-Phenylalanine oxidase","PHENYLALANINE METABOLISM"
78,"PHETA1","Phenylalanine transaminase","PHENYLALANINE METABOLISM"
79,"PHETA1m","PHETA1m","PHENYLALANINE METABOLISM"
80,"PPOR","Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)","PHENYLALANINE METABOLISM"
81,"2HBO","2 HydroxybutyrateNAD oxidoreductase","PROPANOATE METABOLISM"
82,"ACCOAL","Acetate-CoA ligase (ADP-forming)","PROPANOATE METABOLISM"
83,"ACCOALm","ACCOALm","PROPANOATE METABOLISM"
84,"ACS2","ACS2","PROPANOATE METABOLISM"
85,"PPCOAOm","PPCOAOm","PROPANOATE METABOLISM"
86,"2HBt2","2 hydroxybutyrate cotransport with proton","TRANSPORT, EXTRACELLULAR"
87,"2HCO3_NAt","2HCO3 NAt","TRANSPORT, EXTRACELLULAR"
88,"3HCO3_NAt","3HCO3 NAt","TRANSPORT, EXTRACELLULAR"
89,"4HPROLTASCT1","Exit of hydroxy-proline across the basolateral surface of enterocytes","TRANSPORT, EXTRACELLULAR"
90,"5ADTSTSTERONEGLCte","5ADTSTSTERONEGLCte","TRANSPORT, EXTRACELLULAR"
91,"5FTHFt2","5FTHFt2","TRANSPORT, EXTRACELLULAR"
92,"5HTRPVESSEC","5HTRPVESSEC","TRANSPORT, EXTRACELLULAR"
93,"ABUTt2r","4 aminobutyrate reversible transport in via proton symport","TRANSPORT, EXTRACELLULAR"
94,"ABUTt4_2_r","ABUTt4 LPAREN 2 RPAREN r","TRANSPORT, EXTRACELLULAR"
95,"ACACt2","ACACt2","TRANSPORT, EXTRACELLULAR"
96,"ACt2r","Acetate reversible transport via proton symport","TRANSPORT, EXTRACELLULAR"
97,"ADEt","ADEt","TRANSPORT, EXTRACELLULAR"
98,"ADNt4","ADNt4","TRANSPORT, EXTRACELLULAR"
99,"ADPRIBt","ADPRIBt","TRANSPORT, EXTRACELLULAR"
100,"AHANDROSTANGLCte","AHANDROSTANGLCte","TRANSPORT, EXTRACELLULAR"
101,"ALAASNNaEx","ALAASNNaEx","TRANSPORT, EXTRACELLULAR"
102,"ALACYSNaEx","ALACYSNaEx","TRANSPORT, EXTRACELLULAR"
103,"ALAGLNNaEx","ALAGLNNaEx","TRANSPORT, EXTRACELLULAR"
104,"ALASERNaEx","ALASERNaEx","TRANSPORT, EXTRACELLULAR"
105,"ALAt2r","L alanine reversible transport via proton symport","TRANSPORT, EXTRACELLULAR"
106,"ALAt4","ALAt4","TRANSPORT, EXTRACELLULAR"
107,"ALATHRNaEx","ALATHRNaEx","TRANSPORT, EXTRACELLULAR"
108,"ALAtN1","ALAtN1","TRANSPORT, EXTRACELLULAR"
109,"ARGt4","ARGt4","TRANSPORT, EXTRACELLULAR"
110,"ARGt5r","ARGt5r","TRANSPORT, EXTRACELLULAR"
111,"ASCBt4","ASCBt4","TRANSPORT, EXTRACELLULAR"
112,"ASCBt5","L-ascorbate transport via proton symport (1:2 ascb/na ratio)","TRANSPORT, EXTRACELLULAR"
113,"ASNALANaEx","ASNALANaEx","TRANSPORT, EXTRACELLULAR"
114,"ASNCYSNaEx","ASNCYSNaEx","TRANSPORT, EXTRACELLULAR"
115,"ASNGLNNaEx","ASNGLNNaEx","TRANSPORT, EXTRACELLULAR"
116,"ASNPHELAT2tc","Transport of L-Asparagine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
117,"ASNSERNaEx","ASNSERNaEx","TRANSPORT, EXTRACELLULAR"
118,"ASNt4","ASNt4","TRANSPORT, EXTRACELLULAR"
119,"ASNTHRNaEx","ASNTHRNaEx","TRANSPORT, EXTRACELLULAR"
120,"ASNtN1","ASNtN1","TRANSPORT, EXTRACELLULAR"
121,"ASPDt6","ASPDt6","TRANSPORT, EXTRACELLULAR"
122,"ASPPROASCT1","Aspartate intake by system ASCT-1 transporter","TRANSPORT, EXTRACELLULAR"
123,"BILDGLCURt","BILDGLCURt","TRANSPORT, EXTRACELLULAR"
124,"BILDGLCURte","BILDGLCURte","TRANSPORT, EXTRACELLULAR"
125,"BILGLCURt","BILGLCURt","TRANSPORT, EXTRACELLULAR"
126,"BILGLCURte","BILGLCURte","TRANSPORT, EXTRACELLULAR"
127,"BILIRUBt2","BILIRUBt2","TRANSPORT, EXTRACELLULAR"
128,"BTNt3","Biotin reversible transport via sodium symport","TRANSPORT, EXTRACELLULAR"
129,"BTNt3i","BTNt3i","TRANSPORT, EXTRACELLULAR"
130,"BUTt2r","Butyrate transport via proton symport, reversible","TRANSPORT, EXTRACELLULAR"
131,"CAt7r","CAt7r","TRANSPORT, EXTRACELLULAR"
132,"CGLYt3_2","CGLYt3 2","TRANSPORT, EXTRACELLULAR"
133,"CHOLATEt","CHOLATEt","TRANSPORT, EXTRACELLULAR"
134,"CHOLESTle","Hydrolysis of cholesterol ester by cholesterol esterase","TRANSPORT, EXTRACELLULAR"
135,"CHOLtu","CHOLtu","TRANSPORT, EXTRACELLULAR"
136,"CITt4_2","CITt4 2","TRANSPORT, EXTRACELLULAR"
137,"CITt4_3","Citrate transport via sodium symport (1:3)","TRANSPORT, EXTRACELLULAR"
138,"CITt4_4","CITt4 4","TRANSPORT, EXTRACELLULAR"
139,"CLFORtex","CLFORtex","TRANSPORT, EXTRACELLULAR"
140,"CLHCO3tex2","CLHCO3tex2","TRANSPORT, EXTRACELLULAR"
141,"CLHCOtex","CLHCOtex","TRANSPORT, EXTRACELLULAR"
142,"CLI2tex","CLI2tex","TRANSPORT, EXTRACELLULAR"
143,"CO2t","CO2 transporter via diffusion","TRANSPORT, EXTRACELLULAR"
144,"CRNt","L carnitine reversible transport","TRANSPORT, EXTRACELLULAR"
145,"CRNtHa","CRNtHa","TRANSPORT, EXTRACELLULAR"
146,"CRNtuNa","CRNtuNa","TRANSPORT, EXTRACELLULAR"
148,"CYSALANaEx","CYSALANaEx","TRANSPORT, EXTRACELLULAR"
149,"CYSASNNaEx","CYSASNNaEx","TRANSPORT, EXTRACELLULAR"
150,"CYSGLNNaEx","CYSGLNNaEx","TRANSPORT, EXTRACELLULAR"
151,"CYSGLYex","CYSGLYex","TRANSPORT, EXTRACELLULAR"
152,"CYSSERNaEx","CYSSERNaEx","TRANSPORT, EXTRACELLULAR"
153,"CYSt4","CYSt4","TRANSPORT, EXTRACELLULAR"
154,"CYStec","CYStec","TRANSPORT, EXTRACELLULAR"
155,"CYSTGLUex","CYSTGLUex","TRANSPORT, EXTRACELLULAR"
156,"CYSTHRNaEx","CYSTHRNaEx","TRANSPORT, EXTRACELLULAR"
157,"CYSTSERex","CYSTSERex","TRANSPORT, EXTRACELLULAR"
158,"CYTDt4","Cytidine transport in via sodium symport","TRANSPORT, EXTRACELLULAR"
159,"D_LACt2","D lactate transport via proton symport","TRANSPORT, EXTRACELLULAR"
160,"DALAt2r","D-alanine transport via proton symport","TRANSPORT, EXTRACELLULAR"
162,"DHEASt","DHEASt","TRANSPORT, EXTRACELLULAR"
163,"DOPAt4_2_r","DOPAt4 LPAREN 2 RPAREN r","TRANSPORT, EXTRACELLULAR"
164,"DOPAtu","DOPAtu","TRANSPORT, EXTRACELLULAR"
165,"ESTRADIOLGLCt","ESTRADIOLGLCt","TRANSPORT, EXTRACELLULAR"
166,"ESTRADIOLGLCt2","ESTRADIOLGLCt2","TRANSPORT, EXTRACELLULAR"
167,"ESTRIOLGLCte","ESTRIOLGLCte","TRANSPORT, EXTRACELLULAR"
168,"ESTRONESt","ESTRONESt","TRANSPORT, EXTRACELLULAR"
169,"FATP1t","FATP1t","TRANSPORT, EXTRACELLULAR"
170,"FATP2t","FATP2t","TRANSPORT, EXTRACELLULAR"
171,"FATP3t","FATP3t","TRANSPORT, EXTRACELLULAR"
172,"FATP4t","FATP4t","TRANSPORT, EXTRACELLULAR"
173,"FATP5t","FATP5t","TRANSPORT, EXTRACELLULAR"
174,"FATP6t","FATP6t","TRANSPORT, EXTRACELLULAR"
175,"FATP7t","FATP7t","TRANSPORT, EXTRACELLULAR"
176,"FATP8t","FATP8t","TRANSPORT, EXTRACELLULAR"
177,"FATP9t","FATP9t","TRANSPORT, EXTRACELLULAR"
178,"FE2DMT1","Uptake of food iron by DMT1 transporter","TRANSPORT, EXTRACELLULAR"
179,"FE3MTP1","Transport of ferrous iron into blood","TRANSPORT, EXTRACELLULAR"
180,"FRUt1r","FRUt1r","TRANSPORT, EXTRACELLULAR"
181,"FRUt4","FRUt4","TRANSPORT, EXTRACELLULAR"
182,"GALt1r","GALt1r","TRANSPORT, EXTRACELLULAR"
183,"GALt4","GALt4","TRANSPORT, EXTRACELLULAR"
184,"GCHOLAt","GCHOLAt","TRANSPORT, EXTRACELLULAR"
185,"GLCt1","Glucose transport  uniport","TRANSPORT, EXTRACELLULAR"
186,"GLCt2","GLCt2","TRANSPORT, EXTRACELLULAR"
187,"GLCt4","GLCt4","TRANSPORT, EXTRACELLULAR"
188,"GLCt4_2","GLCt4 2","TRANSPORT, EXTRACELLULAR"
189,"GLNALANaEx","GLNALANaEx","TRANSPORT, EXTRACELLULAR"
190,"GLNASNNaEx","GLNASNNaEx","TRANSPORT, EXTRACELLULAR"
191,"GLNCYSNaEx","GLNCYSNaEx","TRANSPORT, EXTRACELLULAR"
192,"GLNSERNaEx","GLNSERNaEx","TRANSPORT, EXTRACELLULAR"
193,"GLNt4","GLNt4","TRANSPORT, EXTRACELLULAR"
194,"GLNTHRNaEx","GLNTHRNaEx","TRANSPORT, EXTRACELLULAR"
195,"GLNtN1","GLNtN1","TRANSPORT, EXTRACELLULAR"
196,"GLUPROASCT1","Glutamate intake by system ASCT-1 transporter","TRANSPORT, EXTRACELLULAR"
197,"GLYBt4_2_r","GLYBt4 LPAREN 2 RPAREN r","TRANSPORT, EXTRACELLULAR"
199,"GLYt2r","Glycine reversible transport via proton symport","TRANSPORT, EXTRACELLULAR"
200,"GLYt4","GLYt4","TRANSPORT, EXTRACELLULAR"
201,"GSNt4","GSNt4","TRANSPORT, EXTRACELLULAR"
202,"GSNt5","GSNt5","TRANSPORT, EXTRACELLULAR"
204,"H2Ot","H2O transport via diffusion","TRANSPORT, EXTRACELLULAR"
205,"HCO3_2NAt","Bicarbonate transport (Na/HCO3 2:1 cotransport)","TRANSPORT, EXTRACELLULAR"
206,"HCO3_NAt","HCO3 NAt","TRANSPORT, EXTRACELLULAR"
207,"HDCAt","Hexadecanoate  n C160  transport in via uniport","TRANSPORT, EXTRACELLULAR"
208,"HDCEAt","Hexadecenoate  n C161  transport in via uniport","TRANSPORT, EXTRACELLULAR"
209,"HISt4","HISt4","TRANSPORT, EXTRACELLULAR"
210,"HISTAtu","HISTAtu","TRANSPORT, EXTRACELLULAR"
211,"HISTAVESSEC","HISTAVESSEC","TRANSPORT, EXTRACELLULAR"
212,"HIStiDF","HIStiDF","TRANSPORT, EXTRACELLULAR"
213,"HIStN1","HIStN1","TRANSPORT, EXTRACELLULAR"
214,"HKt","HKt","TRANSPORT, EXTRACELLULAR"
215,"HOMt4","HOMt4","TRANSPORT, EXTRACELLULAR"
216,"ILELAT1tc","Transport of L-Isoleucine by LAT1 in association with 4F2hc, across the apical surface of the memebranes and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
217,"ILEPHELAT2tc","Transport of L-Isoleucine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
218,"ILEt4","ILEt4","TRANSPORT, EXTRACELLULAR"
219,"ILEtec","ILEtec","TRANSPORT, EXTRACELLULAR"
220,"INSt4","INSt4","TRANSPORT, EXTRACELLULAR"
221,"INSt5","INSt5","TRANSPORT, EXTRACELLULAR"
222,"INSTt2","Inositol transport in via proton symport","TRANSPORT, EXTRACELLULAR"
223,"It","It","TRANSPORT, EXTRACELLULAR"
224,"KCC2t","KCC2t","TRANSPORT, EXTRACELLULAR"
225,"KCCt","KCCt","TRANSPORT, EXTRACELLULAR"
226,"L_LACt2r","L lactate reversible transport via proton symport","TRANSPORT, EXTRACELLULAR"
227,"L_LACt4r_2","L-lactate reversible transport via sodium symport","TRANSPORT, EXTRACELLULAR"
228,"LEUKTRC4t","LEUKTRC4t","TRANSPORT, EXTRACELLULAR"
229,"LEUPHELAT2tc","Transport of L-Leucine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
230,"LEUt4","LEUt4","TRANSPORT, EXTRACELLULAR"
231,"LEUtec","LEUtec","TRANSPORT, EXTRACELLULAR"
232,"LIPOti","LIPOti","TRANSPORT, EXTRACELLULAR"
233,"LYSt4","LYSt4","TRANSPORT, EXTRACELLULAR"
234,"LYSt5r","LYSt5r","TRANSPORT, EXTRACELLULAR"
235,"MALTt1r","MALTt1r","TRANSPORT, EXTRACELLULAR"
236,"MANt4","MANt4","TRANSPORT, EXTRACELLULAR"
237,"METt4","METt4","TRANSPORT, EXTRACELLULAR"
238,"METtec","METtec","TRANSPORT, EXTRACELLULAR"
239,"NAHCO3_HCLt","NAHCO3 HCLt","TRANSPORT, EXTRACELLULAR"
240,"NAHCO3_HCLt2","Bicarbonate transport (HCl/NaHCO3 exchange) (2 HCO3)","TRANSPORT, EXTRACELLULAR"
241,"NAIt","NAIt","TRANSPORT, EXTRACELLULAR"
242,"NaKt","NaKt","TRANSPORT, EXTRACELLULAR"
243,"NAt","NAt","TRANSPORT, EXTRACELLULAR"
244,"NAt3_1","Sodium proton antiporter  HNA is 11","TRANSPORT, EXTRACELLULAR"
245,"NAt5","NAt5","TRANSPORT, EXTRACELLULAR"
246,"NCKt","NCKt","TRANSPORT, EXTRACELLULAR"
247,"NKCC2t","NKCC2t","TRANSPORT, EXTRACELLULAR"
248,"NKCCt","NKCCt","TRANSPORT, EXTRACELLULAR"
249,"NRPPHRt4_2_r","NRPPHRt4 LPAREN 2 RPAREN r","TRANSPORT, EXTRACELLULAR"
250,"NRPPHRtu","NRPPHRtu","TRANSPORT, EXTRACELLULAR"
251,"ORNt","ORNt","TRANSPORT, EXTRACELLULAR"
252,"OXAHCOtex","OXAHCOtex","TRANSPORT, EXTRACELLULAR"
253,"PEFLIP_cho","Phosphatidylethanolamine flippase","TRANSPORT, EXTRACELLULAR"
255,"PHEt4","PHEt4","TRANSPORT, EXTRACELLULAR"
256,"PHEtec","PHEtec","TRANSPORT, EXTRACELLULAR"
257,"PIt7","Phosphate transport in/out via three Na+ symporter","TRANSPORT, EXTRACELLULAR"
258,"PIt8","PIt8","TRANSPORT, EXTRACELLULAR"
259,"PIt9","PIt9","TRANSPORT, EXTRACELLULAR"
260,"PNTOt1","Pantothenate sodium symporter  II","TRANSPORT, EXTRACELLULAR"
261,"PNTOt5","PNTOt5","TRANSPORT, EXTRACELLULAR"
262,"PRODt2r","PRODt2r","TRANSPORT, EXTRACELLULAR"
263,"PROSTGD2t","PROSTGD2t","TRANSPORT, EXTRACELLULAR"
264,"PROSTGE1t","PROSTGE1t","TRANSPORT, EXTRACELLULAR"
265,"PROSTGE2t","PROSTGE2t","TRANSPORT, EXTRACELLULAR"
267,"PROt2r","L proline reversible transport via proton symport","TRANSPORT, EXTRACELLULAR"
268,"PROt4","Na+/Proline-L symporter","TRANSPORT, EXTRACELLULAR"
269,"PSFLIP_cho","Phosphatidylserine flippase","TRANSPORT, EXTRACELLULAR"
270,"PYRt2","Pyruvate transport in via proton symport","TRANSPORT, EXTRACELLULAR"
271,"PYRt4_2","Pyruvate transport via sodium symport","TRANSPORT, EXTRACELLULAR"
272,"r1635","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
273,"r1636","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
274,"r1637","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
275,"r1638","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
276,"r1639","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
277,"r1640","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
278,"r1641","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
279,"r1642","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
280,"r1643","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
281,"r1645","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
282,"r1646","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
283,"r1648","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
284,"r1649","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
285,"r1650","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
286,"r1651","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
287,"r1652","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
288,"r1653","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
289,"r1654","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
290,"r1655","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
291,"r1656","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
292,"r1657","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
293,"r1658","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
294,"r1659","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
295,"r1660","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
296,"r1661","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
297,"r1662","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","TRANSPORT, EXTRACELLULAR"
298,"r1664","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
299,"r1665","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
300,"r1666","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
301,"ARGORNt7","Arginine/ornithine antiporter","TRANSPORT, EXTRACELLULAR"
302,"r1668","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
303,"r1669","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
304,"r1670","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
305,"r1671","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
306,"r1672","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
307,"r1673","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
308,"r1674","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
309,"r1675","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
310,"r1676","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
311,"r1677","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
312,"r1678","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
313,"r1679","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
314,"r1680","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
315,"r1681","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
316,"r1682","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
317,"r1683","Y+LAT2 Utilized transport","TRANSPORT, EXTRACELLULAR"
